event_id,timestamp,label,amount,merchant_category,risk_score,velocity_1h,device_type,device_fingerprint,ip_hash,region,card_type,issuing_bank,account_age_days,is_new_device,failed_auth_attempts,session_duration_sec,is_international,distance_from_home_km,chargeback_risk_band,flagged_for_review
EVT-10408,2026-05-18T15:34:19Z,fraudulent,13821.82,Subscription,0.905,39,unknown,FP-73046,ip-745200,Northeast,Discover,Citibank,25,True,4,21,True,2138.9,VERY_HIGH,True
EVT-10166,2026-05-18T15:37:19Z,normal,1279.71,Subscription,0.0089,6,tablet,FP-80053,ip-743865,West,Discover,Wells Fargo,3397,False,1,299,False,126.5,LOW,False
EVT-10508,2026-05-18T15:38:19Z,normal,1728.56,Subscription,0.2422,4,mobile,FP-17127,ip-378959,Southwest,Amex,PNC Bank,127,False,0,321,False,122.9,LOW,False
EVT-10124,2026-05-18T15:39:19Z,suspicious,3817.95,Subscription,0.688,10,desktop,FP-54605,ip-520642,Southeast,Amex,Citibank,927,False,1,177,False,162.9,HIGH,True
EVT-10747,2026-05-18T15:43:19Z,suspicious,12635.76,E-Commerce,0.4868,14,mobile,FP-60804,ip-964255,West,Visa,US Bank,779,False,1,650,False,118.5,MEDIUM,True
EVT-10375,2026-05-18T15:43:19Z,normal,1602.26,Subscription,0.2738,2,desktop,FP-87245,ip-958394,Midwest,Discover,Bank of America,2105,False,0,687,False,30.6,LOW,False
EVT-10297,2026-05-18T15:46:19Z,normal,2452.7,ATM,0.0113,2,mobile,FP-83949,ip-856713,Northeast,Visa,Capital One,1792,False,1,774,False,22.0,LOW,False
EVT-10660,2026-05-18T15:48:19Z,normal,1088.62,ATM,0.3147,7,tablet,FP-52398,ip-861077,Southeast,Discover,Capital One,2004,False,1,491,False,122.2,LOW,False
EVT-10726,2026-05-18T15:53:19Z,normal,1249.36,Wire Transfer,0.3617,3,tablet,FP-41274,ip-128719,Northeast,Visa,TD Bank,2503,False,0,804,False,167.5,MEDIUM,False
EVT-10016,2026-05-18T15:54:19Z,normal,294.74,E-Commerce,0.3204,6,unknown,FP-80340,ip-765084,West,Discover,Citibank,808,False,1,646,False,8.0,LOW,False
EVT-10774,2026-05-18T15:55:19Z,normal,170.0,ATM,0.0364,6,mobile,FP-52004,ip-778017,Southwest,Visa,Wells Fargo,3267,False,1,226,False,190.4,LOW,False
EVT-10450,2026-05-18T15:55:19Z,normal,1301.46,Subscription,0.0817,2,tablet,FP-87009,ip-628879,Northwest,Amex,Citibank,2229,False,0,304,False,97.3,LOW,False
EVT-10404,2026-05-18T15:56:19Z,normal,1666.38,Subscription,0.2897,6,tablet,FP-25027,ip-365277,West,Discover,US Bank,2418,False,1,522,False,63.4,LOW,False
EVT-10317,2026-05-18T16:00:19Z,normal,1170.87,Subscription,0.2487,2,mobile,FP-13942,ip-366881,Northwest,Mastercard,US Bank,2851,False,0,184,False,133.7,LOW,False
EVT-10930,2026-05-18T16:03:19Z,fraudulent,33753.52,E-Commerce,0.8702,34,mobile,FP-78227,ip-248146,West,Mastercard,PNC Bank,28,False,2,23,False,85.7,VERY_HIGH,False
EVT-10641,2026-05-18T16:03:19Z,normal,117.81,Wire Transfer,0.1528,7,desktop,FP-39323,ip-977638,Southeast,Mastercard,Bank of America,1986,False,1,467,False,195.9,LOW,False
EVT-10821,2026-05-18T16:04:19Z,normal,450.94,E-Commerce,0.3238,4,desktop,FP-66724,ip-325461,Northeast,Mastercard,PNC Bank,2447,False,0,784,False,87.5,LOW,False
EVT-10658,2026-05-18T16:06:19Z,normal,1240.02,Subscription,0.3955,3,desktop,FP-50534,ip-502333,Southwest,Mastercard,US Bank,2873,False,1,225,False,121.2,MEDIUM,False
EVT-10901,2026-05-18T16:11:19Z,fraudulent,12328.53,Subscription,0.9697,24,desktop,FP-46976,ip-370853,West,Amex,Bank of America,15,True,2,58,False,15.3,VERY_HIGH,False
EVT-10674,2026-05-18T16:11:19Z,normal,112.74,Wire Transfer,0.3422,2,unknown,FP-82427,ip-757265,Southwest,Discover,PNC Bank,2002,False,1,328,False,153.9,LOW,False
EVT-10379,2026-05-18T16:12:19Z,normal,134.56,ATM,0.1116,4,tablet,FP-66724,ip-366881,Southeast,Discover,Capital One,2605,False,1,425,False,163.4,LOW,False
EVT-10241,2026-05-18T16:12:19Z,suspicious,1729.73,Crypto Exchange,0.7436,18,unknown,FP-31054,ip-186751,Southeast,Amex,Capital One,550,False,0,265,False,162.5,HIGH,True
EVT-10770,2026-05-18T16:18:19Z,normal,728.48,ATM,0.2724,5,tablet,FP-59088,ip-579840,Southwest,Mastercard,Wells Fargo,3036,False,0,595,False,17.8,LOW,False
EVT-10808,2026-05-18T16:19:19Z,normal,521.45,E-Commerce,0.0711,1,desktop,FP-31054,ip-377800,Midwest,Discover,TD Bank,174,False,1,238,False,110.0,LOW,False
EVT-10811,2026-05-18T16:20:19Z,fraudulent,14824.57,POS Retail,0.738,37,tablet,FP-80264,ip-204382,Northeast,Discover,Bank of America,17,True,2,24,False,146.2,HIGH,False
EVT-10136,2026-05-18T16:23:19Z,normal,1030.12,Wire Transfer,0.3318,5,mobile,FP-82427,ip-502333,Southeast,Amex,Citibank,286,False,1,658,False,99.1,LOW,False
EVT-10627,2026-05-18T16:24:19Z,fraudulent,38102.18,POS Retail,0.8208,32,unknown,FP-78501,ip-545558,West,Amex,Wells Fargo,13,False,3,19,False,197.5,VERY_HIGH,True
EVT-10683,2026-05-18T16:25:19Z,normal,981.15,ATM,0.4,2,desktop,FP-92587,ip-827793,Northwest,Discover,Wells Fargo,2662,False,0,73,False,148.8,MEDIUM,False
EVT-10235,2026-05-18T16:28:19Z,normal,1812.48,Subscription,0.1781,5,mobile,FP-37355,ip-171328,Northwest,Mastercard,TD Bank,869,False,1,745,False,32.4,LOW,False
EVT-10887,2026-05-18T16:31:19Z,normal,104.91,E-Commerce,0.278,5,unknown,FP-17127,ip-227135,Northeast,Visa,Chase,2555,False,0,301,False,87.6,LOW,False
EVT-10102,2026-05-18T16:35:19Z,suspicious,15838.55,POS Retail,0.4279,11,tablet,FP-27991,ip-957608,Southwest,Visa,Chase,1431,False,0,639,False,133.7,MEDIUM,False
EVT-10739,2026-05-18T16:36:19Z,normal,374.05,Subscription,0.0692,7,tablet,FP-85751,ip-365277,Midwest,Visa,Wells Fargo,3200,False,0,180,False,13.0,LOW,False
EVT-10644,2026-05-18T16:37:19Z,normal,1654.81,Wire Transfer,0.0833,6,tablet,FP-13122,ip-823711,Southeast,Mastercard,PNC Bank,1258,False,0,686,False,36.2,LOW,False
EVT-10928,2026-05-18T16:38:19Z,normal,2216.07,Crypto Exchange,0.068,2,desktop,FP-46574,ip-398411,Southwest,Visa,Bank of America,3385,False,0,897,False,25.8,LOW,False
EVT-10978,2026-05-18T16:40:19Z,normal,1804.19,ATM,0.3326,4,desktop,FP-52004,ip-359138,Southwest,Amex,Citibank,1516,False,0,537,False,84.7,LOW,False
EVT-10011,2026-05-18T16:40:19Z,normal,1053.71,Wire Transfer,0.1752,1,tablet,FP-39717,ip-377800,Southwest,Mastercard,TD Bank,2271,False,1,207,False,187.2,LOW,False
EVT-10856,2026-05-18T16:40:19Z,normal,396.93,POS Retail,0.0318,4,desktop,FP-43371,ip-195307,Northeast,Visa,US Bank,1486,False,1,650,False,32.0,LOW,False
EVT-10075,2026-05-18T16:41:19Z,fraudulent,29416.86,Subscription,0.9591,22,desktop,FP-46976,ip-233387,Midwest,Discover,PNC Bank,10,False,4,49,True,4607.0,VERY_HIGH,True
EVT-10521,2026-05-18T16:47:19Z,fraudulent,45955.53,ATM,0.8516,27,tablet,FP-24461,ip-817134,West,Discover,Bank of America,29,True,3,50,False,175.2,VERY_HIGH,False
EVT-10836,2026-05-18T16:47:19Z,normal,1943.72,E-Commerce,0.0122,6,desktop,FP-55450,ip-671347,Northwest,Visa,PNC Bank,177,False,1,362,False,41.5,LOW,False
EVT-10249,2026-05-18T16:48:19Z,normal,584.62,Subscription,0.0597,4,desktop,FP-96569,ip-914978,Southwest,Amex,Chase,1540,False,0,620,False,193.6,LOW,False
EVT-10254,2026-05-18T16:49:19Z,normal,2614.88,POS Retail,0.3501,6,mobile,FP-85576,ip-217951,Midwest,Discover,Bank of America,1287,False,0,184,False,103.6,MEDIUM,False
EVT-10146,2026-05-18T16:50:19Z,normal,2548.86,POS Retail,0.3712,4,desktop,FP-66724,ip-181835,Northwest,Amex,Citibank,1925,False,1,565,False,14.4,MEDIUM,False
EVT-10997,2026-05-18T16:50:19Z,fraudulent,31674.93,POS Retail,0.9721,36,tablet,FP-78501,ip-621297,Southeast,Amex,TD Bank,5,False,5,11,True,2433.1,VERY_HIGH,False
EVT-10175,2026-05-18T16:51:19Z,suspicious,17841.93,Subscription,0.5864,12,unknown,FP-80232,ip-198229,West,Amex,TD Bank,1794,False,0,87,False,153.0,HIGH,True
EVT-10489,2026-05-18T16:52:19Z,fraudulent,49956.42,Subscription,0.8883,35,mobile,FP-27052,ip-729735,West,Mastercard,Bank of America,2,True,3,25,True,4234.9,VERY_HIGH,False
EVT-10977,2026-05-18T16:52:19Z,fraudulent,16789.97,Crypto Exchange,0.7288,23,mobile,FP-85576,ip-171328,Northwest,Visa,TD Bank,21,False,2,12,True,2833.7,HIGH,True
EVT-10963,2026-05-18T16:53:19Z,normal,1945.91,POS Retail,0.0611,5,tablet,FP-27991,ip-880964,Southeast,Visa,TD Bank,1849,False,1,73,False,40.2,LOW,False
EVT-10582,2026-05-18T16:54:19Z,normal,2585.47,E-Commerce,0.0546,3,desktop,FP-32093,ip-378959,Southwest,Discover,Capital One,1473,False,0,151,False,119.8,LOW,False
EVT-10225,2026-05-18T16:54:19Z,suspicious,8589.37,Wire Transfer,0.5502,18,desktop,FP-51301,ip-901712,Southeast,Amex,Citibank,3338,False,0,700,False,168.1,HIGH,False
EVT-10855,2026-05-18T16:55:19Z,normal,2001.59,Subscription,0.3799,7,mobile,FP-40504,ip-514030,Southeast,Visa,Chase,2244,False,0,102,False,97.6,MEDIUM,False
EVT-10594,2026-05-18T16:55:19Z,normal,3954.56,ATM,0.3359,7,mobile,FP-99648,ip-474226,Midwest,Discover,US Bank,3206,False,0,380,False,28.9,LOW,False
EVT-10753,2026-05-18T16:56:19Z,suspicious,2695.87,Wire Transfer,0.5916,19,tablet,FP-60328,ip-279797,Northeast,Visa,PNC Bank,1108,False,0,807,False,191.6,HIGH,True
EVT-10144,2026-05-18T16:57:19Z,normal,4999.0,E-Commerce,0.2494,5,mobile,FP-39323,ip-940934,Southwest,Amex,TD Bank,1680,False,1,626,False,14.8,LOW,False
EVT-10263,2026-05-18T16:58:19Z,normal,641.05,Subscription,0.3059,2,desktop,FP-84902,ip-757265,Northwest,Mastercard,Capital One,2513,False,1,236,False,92.2,LOW,False
EVT-10893,2026-05-18T16:58:19Z,fraudulent,59767.28,Wire Transfer,0.9638,28,tablet,FP-13942,ip-651206,Midwest,Visa,Capital One,14,True,5,9,True,3157.9,VERY_HIGH,True
EVT-10954,2026-05-18T16:59:19Z,fraudulent,36513.77,ATM,0.8911,24,tablet,FP-27052,ip-750989,Southeast,Amex,Citibank,15,True,3,11,True,619.6,VERY_HIGH,True
EVT-10858,2026-05-18T17:00:19Z,normal,344.16,Crypto Exchange,0.137,6,tablet,FP-92587,ip-651206,Northeast,Mastercard,TD Bank,701,False,1,530,False,114.3,LOW,False
EVT-10183,2026-05-18T17:00:19Z,fraudulent,31530.68,Subscription,0.7446,38,unknown,FP-26429,ip-185019,Midwest,Mastercard,Bank of America,16,True,5,22,False,83.2,HIGH,True
EVT-10224,2026-05-18T17:00:19Z,normal,734.55,Wire Transfer,0.2918,3,unknown,FP-18032,ip-379290,Northeast,Discover,Bank of America,2987,False,0,770,False,84.0,LOW,False
EVT-10279,2026-05-18T17:00:19Z,fraudulent,46882.93,POS Retail,0.9767,26,tablet,FP-85576,ip-545558,Northeast,Visa,Capital One,29,True,2,16,True,2082.7,VERY_HIGH,True
EVT-10479,2026-05-18T17:02:19Z,normal,374.65,Wire Transfer,0.1751,2,mobile,FP-16870,ip-185019,West,Mastercard,Bank of America,1530,False,1,280,False,49.4,LOW,False
EVT-10067,2026-05-18T17:03:19Z,suspicious,3429.49,POS Retail,0.5327,17,tablet,FP-57382,ip-198229,West,Visa,TD Bank,2358,False,0,107,False,124.5,MEDIUM,False
EVT-10775,2026-05-18T17:05:19Z,suspicious,10284.61,ATM,0.6363,8,tablet,FP-59821,ip-371961,Southwest,Visa,Citibank,259,False,1,248,False,100.7,HIGH,True
EVT-10374,2026-05-18T17:10:19Z,fraudulent,38793.51,E-Commerce,0.9289,20,unknown,FP-57382,ip-504424,Southeast,Mastercard,US Bank,17,True,5,43,False,22.7,VERY_HIGH,True
EVT-10915,2026-05-18T17:11:19Z,suspicious,1474.17,ATM,0.6097,8,unknown,FP-84945,ip-917721,Northwest,Discover,TD Bank,2014,False,0,622,False,108.8,HIGH,True
EVT-10968,2026-05-18T17:12:19Z,normal,1028.0,POS Retail,0.0698,6,desktop,FP-92587,ip-848000,West,Amex,US Bank,2599,False,1,877,False,3.2,LOW,False
EVT-10258,2026-05-18T17:13:19Z,suspicious,14936.35,POS Retail,0.5221,17,tablet,FP-75011,ip-119902,West,Amex,TD Bank,3576,False,0,457,False,42.0,MEDIUM,True
EVT-10469,2026-05-18T17:17:19Z,normal,4999.0,E-Commerce,0.1619,6,tablet,FP-84902,ip-236348,Northeast,Visa,Chase,1854,False,0,571,False,58.6,LOW,False
EVT-10832,2026-05-18T17:21:19Z,normal,78.36,Wire Transfer,0.0178,4,mobile,FP-41906,ip-625687,West,Amex,Chase,323,False,1,366,False,61.5,LOW,False
EVT-10369,2026-05-18T17:21:19Z,normal,591.05,Wire Transfer,0.0284,3,tablet,FP-49169,ip-631823,Southwest,Amex,TD Bank,1217,False,0,618,False,56.0,LOW,False
EVT-10661,2026-05-18T17:21:19Z,normal,222.56,ATM,0.2847,3,desktop,FP-57382,ip-877882,West,Visa,Chase,2784,False,1,471,False,109.3,LOW,False
EVT-10129,2026-05-18T17:22:19Z,normal,840.77,Wire Transfer,0.3211,2,tablet,FP-52004,ip-104776,Southeast,Visa,PNC Bank,1917,False,0,159,False,27.0,LOW,False
EVT-10750,2026-05-18T17:23:19Z,normal,749.13,POS Retail,0.2372,7,desktop,FP-40504,ip-705015,West,Mastercard,Wells Fargo,3510,False,1,394,False,127.5,LOW,False
EVT-10894,2026-05-18T17:27:19Z,normal,437.64,E-Commerce,0.3831,5,desktop,FP-49564,ip-185225,Midwest,Discover,Citibank,429,False,1,64,False,172.6,MEDIUM,False
EVT-10870,2026-05-18T17:28:19Z,suspicious,14077.12,ATM,0.6033,13,desktop,FP-69835,ip-877882,Southwest,Visa,Bank of America,3466,False,0,494,False,112.6,HIGH,True
EVT-10729,2026-05-18T17:28:19Z,fraudulent,57709.4,ATM,0.8443,29,tablet,FP-70282,ip-665870,West,Amex,PNC Bank,25,False,5,38,True,4752.3,VERY_HIGH,True
EVT-10432,2026-05-18T17:28:19Z,normal,671.55,Crypto Exchange,0.2162,2,tablet,FP-27052,ip-116165,Midwest,Amex,PNC Bank,1554,False,0,290,False,140.8,LOW,False
EVT-10484,2026-05-18T17:29:19Z,normal,1706.55,Wire Transfer,0.2787,6,unknown,FP-71532,ip-709931,Northeast,Discover,Bank of America,769,False,0,259,False,17.2,LOW,False
EVT-10596,2026-05-18T17:34:19Z,suspicious,12828.17,Wire Transfer,0.5957,18,tablet,FP-52004,ip-943130,Southeast,Amex,PNC Bank,2787,False,0,423,False,88.7,HIGH,True
EVT-10778,2026-05-18T17:36:19Z,normal,1660.4,E-Commerce,0.3727,5,desktop,FP-18032,ip-249373,Southwest,Amex,Bank of America,3345,False,1,568,False,31.9,MEDIUM,False
EVT-10731,2026-05-18T17:36:19Z,fraudulent,35762.67,POS Retail,0.7979,19,desktop,FP-87272,ip-975807,West,Mastercard,PNC Bank,17,True,5,17,False,117.6,VERY_HIGH,True
EVT-10598,2026-05-18T17:37:19Z,fraudulent,24199.54,E-Commerce,0.7884,44,desktop,FP-97805,ip-429636,Midwest,Visa,US Bank,26,True,5,19,False,21.1,VERY_HIGH,False
EVT-10519,2026-05-18T17:37:19Z,suspicious,14349.35,E-Commerce,0.6444,11,tablet,FP-78501,ip-429636,Northwest,Visa,PNC Bank,912,False,0,845,False,193.7,HIGH,True
EVT-10398,2026-05-18T17:39:19Z,normal,325.17,E-Commerce,0.3968,2,mobile,FP-85576,ip-823924,Northeast,Amex,PNC Bank,1854,False,1,294,False,8.1,MEDIUM,False
EVT-10614,2026-05-18T17:42:19Z,normal,1436.63,Crypto Exchange,0.2332,3,desktop,FP-54759,ip-642795,Southwest,Mastercard,Chase,2040,False,0,493,False,79.0,LOW,False
EVT-10388,2026-05-18T17:44:19Z,suspicious,10119.8,POS Retail,0.6376,10,unknown,FP-40504,ip-623004,Midwest,Mastercard,Citibank,611,False,1,159,False,117.8,HIGH,True
EVT-10308,2026-05-18T17:44:19Z,normal,3583.75,ATM,0.3676,7,unknown,FP-72668,ip-952957,Northeast,Amex,US Bank,1944,False,1,204,False,153.1,MEDIUM,False
EVT-10605,2026-05-18T17:44:19Z,suspicious,8293.86,Crypto Exchange,0.4319,19,mobile,FP-82427,ip-762954,Northwest,Visa,TD Bank,2023,False,1,179,False,118.8,MEDIUM,True
EVT-10042,2026-05-18T17:46:19Z,normal,85.9,Subscription,0.1301,7,unknown,FP-77027,ip-181835,Southeast,Amex,Chase,1155,False,1,683,False,130.7,LOW,False
EVT-10440,2026-05-18T17:46:19Z,suspicious,9379.86,Crypto Exchange,0.5152,17,mobile,FP-74534,ip-477202,Northwest,Amex,US Bank,523,False,0,656,False,175.9,MEDIUM,False
EVT-10321,2026-05-18T17:47:19Z,normal,999.81,ATM,0.2718,4,desktop,FP-71012,ip-534072,Southeast,Discover,Citibank,472,False,0,345,False,25.7,LOW,False
EVT-10516,2026-05-18T17:48:19Z,suspicious,11396.7,Crypto Exchange,0.6748,8,tablet,FP-46976,ip-360869,Southwest,Visa,US Bank,3031,False,1,636,False,39.7,HIGH,False
EVT-10196,2026-05-18T17:48:19Z,normal,4999.0,E-Commerce,0.2003,6,unknown,FP-94626,ip-175999,Northwest,Visa,Chase,3245,False,1,757,False,95.5,LOW,False
EVT-10795,2026-05-18T17:48:19Z,suspicious,11067.72,POS Retail,0.4421,10,mobile,FP-52259,ip-943130,Southeast,Mastercard,Capital One,216,False,1,441,False,25.5,MEDIUM,True
EVT-10723,2026-05-18T17:54:19Z,fraudulent,58921.02,Crypto Exchange,0.7343,37,unknown,FP-50153,ip-398411,West,Visa,Bank of America,9,True,3,51,False,169.1,HIGH,True
EVT-10126,2026-05-18T17:57:19Z,suspicious,10624.08,Wire Transfer,0.748,8,mobile,FP-78227,ip-369993,West,Discover,Bank of America,1497,False,1,495,False,17.8,HIGH,True
EVT-10827,2026-05-18T17:58:19Z,normal,783.59,Wire Transfer,0.0722,2,unknown,FP-59088,ip-610553,Midwest,Visa,TD Bank,1133,False,0,93,False,186.7,LOW,False
EVT-10360,2026-05-18T17:58:19Z,suspicious,12757.69,POS Retail,0.7203,11,mobile,FP-36423,ip-754294,Southwest,Mastercard,Chase,193,False,0,603,False,35.0,HIGH,True
EVT-10809,2026-05-18T18:01:19Z,suspicious,16442.86,Subscription,0.6916,19,desktop,FP-40504,ip-906543,Northwest,Mastercard,Wells Fargo,1949,False,1,64,False,189.8,HIGH,True
EVT-10056,2026-05-18T18:01:19Z,fraudulent,16668.11,POS Retail,0.8515,42,tablet,FP-28132,ip-345017,Southwest,Discover,TD Bank,27,False,4,45,False,20.9,VERY_HIGH,True
EVT-10053,2026-05-18T18:01:19Z,normal,896.54,ATM,0.2145,1,mobile,FP-86956,ip-694538,Northeast,Visa,Wells Fargo,1312,False,0,666,False,118.9,LOW,False
EVT-10548,2026-05-18T18:02:19Z,normal,713.31,POS Retail,0.254,6,desktop,FP-59190,ip-781738,West,Mastercard,Wells Fargo,1822,False,1,397,False,174.0,LOW,False
EVT-10523,2026-05-18T18:02:19Z,normal,98.34,E-Commerce,0.3259,6,unknown,FP-46826,ip-483293,West,Mastercard,Bank of America,696,False,0,697,False,138.1,LOW,False
EVT-10503,2026-05-18T18:02:19Z,normal,327.95,Subscription,0.0592,4,unknown,FP-49498,ip-550666,Northwest,Visa,Bank of America,472,False,1,351,False,65.2,LOW,False
EVT-10329,2026-05-18T18:06:19Z,suspicious,5102.94,Wire Transfer,0.5222,18,tablet,FP-24870,ip-670576,Southwest,Visa,TD Bank,2336,False,0,685,False,90.1,MEDIUM,True
EVT-10229,2026-05-18T18:09:19Z,fraudulent,59281.95,Wire Transfer,0.7664,31,unknown,FP-18032,ip-592215,Southwest,Amex,Capital One,1,False,5,42,False,162.5,VERY_HIGH,True
EVT-10815,2026-05-18T18:09:19Z,suspicious,10250.61,Crypto Exchange,0.4254,9,mobile,FP-49088,ip-757265,Southeast,Visa,Capital One,2237,False,0,741,False,175.9,MEDIUM,True
EVT-10419,2026-05-18T18:09:19Z,normal,1437.39,Crypto Exchange,0.3776,6,unknown,FP-18475,ip-108924,West,Mastercard,Wells Fargo,176,False,1,345,False,199.4,MEDIUM,False
EVT-10822,2026-05-18T18:10:19Z,normal,931.89,Crypto Exchange,0.306,1,unknown,FP-22577,ip-940934,Northwest,Amex,Citibank,652,False,1,104,False,89.7,LOW,False
EVT-10158,2026-05-18T18:11:19Z,normal,165.16,E-Commerce,0.0048,7,unknown,FP-46767,ip-880964,Southeast,Discover,TD Bank,368,False,0,820,False,110.1,LOW,False
EVT-10577,2026-05-18T18:13:19Z,normal,289.43,Subscription,0.2634,1,desktop,FP-87009,ip-316873,Northwest,Visa,Bank of America,3364,False,0,217,False,55.1,LOW,False
EVT-10545,2026-05-18T18:14:19Z,fraudulent,51125.04,Subscription,0.7625,20,tablet,FP-85576,ip-810105,Northeast,Mastercard,PNC Bank,14,True,3,19,True,4973.4,VERY_HIGH,True
EVT-10634,2026-05-18T18:14:19Z,normal,573.74,Wire Transfer,0.3283,4,mobile,FP-35324,ip-211378,Southwest,Discover,US Bank,1066,False,0,652,False,193.1,LOW,False
EVT-10513,2026-05-18T18:17:19Z,suspicious,11381.26,POS Retail,0.5394,14,tablet,FP-73464,ip-651206,Northwest,Discover,US Bank,1112,False,1,583,False,33.0,MEDIUM,True
EVT-10290,2026-05-18T18:19:19Z,normal,1980.28,E-Commerce,0.295,3,mobile,FP-50534,ip-375360,Southeast,Visa,TD Bank,2609,False,1,321,False,86.8,LOW,False
EVT-10348,2026-05-18T18:20:19Z,normal,70.35,E-Commerce,0.0365,7,unknown,FP-18104,ip-588019,Midwest,Discover,TD Bank,2635,False,0,417,False,188.9,LOW,False
EVT-10785,2026-05-18T18:20:19Z,normal,48.37,POS Retail,0.0988,7,tablet,FP-84940,ip-385424,Northwest,Discover,Capital One,790,False,0,626,False,91.0,LOW,False
EVT-10037,2026-05-18T18:22:19Z,suspicious,14108.0,E-Commerce,0.664,8,desktop,FP-99648,ip-319485,Southeast,Visa,TD Bank,1669,False,0,822,False,124.4,HIGH,True
EVT-10365,2026-05-18T18:23:19Z,suspicious,10939.51,Subscription,0.5249,12,tablet,FP-31559,ip-256850,West,Mastercard,Citibank,1593,False,1,520,False,177.4,MEDIUM,False
EVT-10791,2026-05-18T18:23:19Z,normal,879.11,Crypto Exchange,0.2035,6,desktop,FP-10662,ip-353110,Southwest,Visa,Citibank,2400,False,0,836,False,21.6,LOW,False
EVT-10195,2026-05-18T18:26:19Z,suspicious,1942.05,ATM,0.6957,19,mobile,FP-21530,ip-826836,Northeast,Amex,Bank of America,1764,False,0,806,False,170.7,HIGH,True
EVT-10221,2026-05-18T18:29:19Z,normal,1821.62,ATM,0.3292,3,unknown,FP-94423,ip-226224,Northwest,Amex,PNC Bank,3296,False,1,823,False,45.7,LOW,False
EVT-10917,2026-05-18T18:32:19Z,suspicious,6284.52,ATM,0.4555,18,tablet,FP-17127,ip-359138,Southeast,Mastercard,Wells Fargo,1490,False,1,252,False,65.4,MEDIUM,True
EVT-10381,2026-05-18T18:35:19Z,normal,996.2,Subscription,0.1156,7,tablet,FP-98445,ip-939900,Midwest,Discover,Bank of America,235,False,0,880,False,123.1,LOW,False
EVT-10962,2026-05-18T18:35:19Z,suspicious,4124.06,Wire Transfer,0.6455,9,unknown,FP-20307,ip-469197,West,Amex,Bank of America,282,False,0,536,False,88.1,HIGH,True
EVT-10025,2026-05-18T18:35:19Z,normal,61.01,Subscription,0.1489,5,tablet,FP-50540,ip-120523,Northeast,Amex,PNC Bank,362,False,1,621,False,73.0,LOW,False
